Gene,Number of connections,Connected genes
KRT8P3,2,CTD-3001H11.2 DIO3 
EFCC1,2,CTD-3088G3.8 EIF1AY 
FBXW12,2,NKIRAS1 KHSRP 
SDAD1P1,2,EPS8 MAF1 
EFNA2,2,DIMT1 CTD-2015G9.2 
SDC2,2,RP11-307L14.1 IGKV3OR2-268 
EFNB3,2,CKS2 IGFLR1 
RP11-562A8.4,2,DNMBP-AS1 YLPM1 
EFR3A,2,SPG21 RP11-585P4.6 
KRT4,2,CTD-3195I5.3 COPS6 
KRT24,2,C9orf173 IFITM3 
ITGAE,2,RNF4 NAMPT 
EGFR,2,PRR22 LL0XNC01-36H8.1 
SLC31A1,2,C3orf70 KPTN 
FBXO33,2,SGOL2 DCTN5 
EGLN1,2,RP11-536C12.1 RP11-377D9.3 
SDF2,2,ORC5 RP11-405M12.4 
ITGB1,2,RP3-406A7.7 LEKR1 
FBXO27,2,RP11-83N9.6 ZNF594 
KRT19P1,2,RAPGEF6 SLC24A2 
EID2,2,C19orf57 HSD11B1L 
ITGB1BP1,2,CD82 AIM1 
RPL3L,2,ERGIC3 GRM8 
RP11-65J21.4,2,KLKP1 SH2D4A 
RP5-1159O4.2,2,LYPD3 LINC01515 
STK3,2,RP11-714G18.1 ARFRP1 
MICAL2,2,ANKRD7 SCUBE2 
RP3-508I15.22,2,TTC38 CAB39 
RP3-508I15.9,2,RP3-428L16.2 NUP107 
GPATCH8,2,RGS7 DPEP3 
MARCH1,2,C1orf186 RFX4 
HPGDS,2,WDR4 FNDC3B 
TBL3,2,CDS1 MFAP1 
CTAGE8,2,DCHS1 PLEKHA5 
MIEN1,2,LINC01125 RP5-1091N2.9 
GPAM,2,HNRNPAB ATP1A3 
GP6,2,TMEM133 NCAM2 
STK11IP,2,LINC01133 PTGER4 
TBX1,2,RBMS1 LY9 
RP11-396C23.4,2,CYTIP LINC00160 
RP13-516M14.8,2,ARAP1-AS2 RP11-164P12.4 
CTD-2313F11.1,2,AC002511.3 SALRNA1 
RP11-332H14.1,2,ABCC9 CTC-251D13.1 
CTD-2287O16.5,2,CYGB RIC8B 
MICA,2,GPR75 CACNA2D1 
STIP1,2,ZNF80 MYH16 
RP5-933K21.3,2,CYP2D8P LINC00921 
MAL2,2,RP11-229P13.2 IGLV2-23 
RP11-394B2.1,2,ZNF423 RP11-498P14.3 
CTC-463A16.1,2,GPR87 PPL 
RP11-394O4.5,2,GPR156 LUC7L 
HAS2-AS1,2,SAAL1 RPS6KA1 
STMN2,2,OR52I1 ZNF624 
HM13,2,ECM2 PRPF4 
HIST2H3D,2,C6orf118 TATDN2P2 
MAGEL2,2,UBE2Q2P1 COPRS 
CRIP1,2,PIWIL4 UNC5CL 
RPL12P15,2,RGPD8 CADM3-AS1 
CTA-384D8.33,2,FEZ2 OSER1-AS1 
HMCN1,2,HSPB8 NDUFS5 
CRHR1-IT1,2,TMEM19 E2F2 
GTF3C3,2,AC015971.2 RAD18 
HNRNPM,2,AC090945.1 RTN4RL1 
RP5-1065J22.4,2,CA4 RP11-569G13.2 
CTC-458A3.1,2,SLMO1 PTK7 
MAFB,2,AC011385.1 FCGR2C 
CTD-2382E5.6,2,MRPL12 RP11-809N8.5 
SUDS3P1,2,MAMLD1 ELTD1 
SYCE1,2,PPP2R5A LNX2 
GOLGA2P5,2,RP13-614K11.2 MCF2L2 
CTD-2353F22.1,2,C16orf59 RP11-297N6.4 
CR1,2,ASPA NPTN-IT1 
TBXAS1,2,RP11-554D14.8 SLC41A3 
GNRHR2,2,GPM6A AC092670.1 
RP11-355K23B.1,2,CLCN7 FAM229A 
CTD-2373J6.2,2,IL21R-AS1 RP11-111F5.5 
HNRNPA3P6,2,GPR98 TXNP4 
RP11-3P17.5,2,RP11-1166P10.1 RP11-486I11.2 
RP5-1074L1.4,2,CTD-2006C1.6 SYNDIG1L 
RP5-890O3.9,2,EEF2K PPFIA4 
CTC-359D24.3,2,ARHGAP24 RP11-495P10.10 
RP11-411B6.6,2,FOXB2 C14orf119 
HSD17B14,2,SCARNA13 RP11-216L13.21 
MED13,2,NUP210 GSC 
MIR3197,2,CMTR1 ABAT 
RP11-96L14.7,2,OSGEPL1 RP11-10L12.4 
MED4,2,TFDP2 RPL18 
HBEGF,2,GPX3 INADL 
RP11-39H3.2,2,YEATS4 RSL24D1P6 
MAD2L1BP,2,SDHAP1 CACNA1F 
CRAT,2,C19orf24 PRRC1 
CRAMP1L,2,RHOT1 RP11-699L21.2 
RP11-331F4.5,2,GLCE CTD-2574D22.4 
SUV39H2,2,FPGT SCML1 
MEF2A,2,ECHDC3 RFC2 
MARCH10,2,SESTD1 MPV17L 
RP13-554M15.7,2,KB-1572G7.3 CLEC5A 
RP11-373D23.2,2,SART1 AUH 
GOSR1,2,PI16 PLCB4 
CTB-119C2.1,2,BDH1 CCNL1 
CTC-436P18.5,2,RPS27A DHRS7B 
CTD-2328D6.1,2,CTD-2583A14.11 RPS3P6 
RP13-580F15.2,2,PPIEL PROSER1 
HS3ST1,2,TOR4A RMND5A 
HSCB,2,GLIPR1 LIPT1 
HIST1H4D,2,DARS-AS1 ASAP3 
CRIP2,2,SP5 RP11-128A17.2 
SUPT7L,2,NBPF8P RP11-584P21.2 
SUPT6H,2,ZMAT1 BRK1 
METTL3,2,XXbac-BPG252P9.10 MTMR1 
CSDC2,2,DOCK3 AC092670.1 
SULF2,2,SLC25A30 RP5-857K21.11 
RP11-384M20.1,2,LINC01208 ZNF669 
RP3-428L16.2,2,RP3-508I15.9 NUP107 
METTL10,2,ENO4 PDHX 
SULT1A2,2,LAMA5-AS1 TSEN34 
GULOP,2,PRRX2 MTERF1 
RP5-981O7.2,2,SEMA3B-AS1 AC073072.7 
CTD-2012J19.3,2,KRT6B RPL34P18 
RP11-37L2.1,2,VIT FAM126B 
RPA2,2,CTC-260E6.4 CPD 
H1F0,2,SDHAP1 C2orf50 
GPR157,2,EXOC5 RP11-130C6.1 
CTA-14H9.5,2,HMGN5 GRB7 
SUMO2P1,2,RPL39P36 RP11-89H19.2 
RP13-1016M1.2,2,LCP2 FUT6 
CTD-2026D20.3,2,LINC01133 RP11-403I13.8 
RP5-1007F24.1,2,AC008060.7 FMOD 
RP11-384K6.2,2,CACNG1 AKAP13 
HAPLN1,2,MAPK8IP3 MCEMP1 
RP6-201G10.2,2,RP11-352G18.2 SARNP 
HOXA-AS2,2,PLD5 RP11-611E13.2 
RP11-348F1.3,2,MSANTD2 MED13L 
CSPG4P8,2,ERO1LB IGHV1-2 
CSNK1G2,2,RP11-646I6.5 COL18A1 
METTL23,2,NAV2 CLK3 
MAP3K6,2,LRRC43 AP000344.4 
RP5-991G20.1,2,PTGES3 DCDC1 
RP6-105D16.1,2,SYDE1 NAPG 
METTL17,2,RP11-452F19.3 RP11-488I20.7 
SUCLA2,2,RP11-762H8.2 NSFP1 
GPR39,2,EXOSC4 USHBP1 
CTC-786C10.1,2,TMC3 HSD17B8 
HOXA11,2,TM4SF19-AS1 P2RY13 
HLA-DQA2,2,ZNF114 LYSMD2 
RP11-384F7.2,2,TTC26 WBP11 
HLA-DRB6,2,RP11-900F13.3 VSIG10L 
STXBP5L,2,RP11-32B5.1 KLK5 
H2AFY,2,RP11-127B16.1 AFTPH 
RP11-343H5.6,2,MYL5 SIDT1 
MGAT1,2,DDX20 REEP3 
HLA-DMB,2,THOC1 ZNF57 
STRIP1,2,SLC13A4 RP11-1149O23.3 
HK3,2,FRS3 CDON 
RP11-33O4.2,2,THOC1 PPP2R4 
MAN1C1,2,GPR155 ZNF343 
RP11-34P13.16,2,CDC6 CNIH1 
CTA-253N17.1,2,RP11-495P10.10 LINC00937 
GPR107,2,BRICD5 TMPRSS11F 
MEIS3P2,2,MSI1 LTA 
TBC1D32,2,FAM117B CTD-2574D22.2 
MEIS2,2,FAM228B AGAP3 
MAMLD1,2,ELTD1 SUDS3P1 
HK2,2,WWP2 RP11-7F17.8 
STOX2,2,PARVA SGPP1 
HLA-J,2,BHMT RP11-386M24.4 
RPL10AP6,2,CHRNB2 RN7SL138P 
RP5-1054A22.4,2,LRRIQ1 RP11-594N15.2 
GUCY1A3,2,USP32P1 ZNF704 
TAPBP,2,DNAH2 MNAT1 
STRN,2,MGAT4A SOCS7 
RP4-794I6.4,2,CD79B CHMP4B 
MAPK6,2,PTP4A2P2 TNFAIP8L1 
RP11-343B5.1,2,CAMK2N2 NOSIP 
MAP2K4,2,MOCS1 AC009974.11 
RPGRIP1,2,RP11-895M11.3 PTPN5 
MAPK15,2,GRIA1 PPAP2C 
CTD-2033C11.1,2,RP11-611E13.2 SLC44A2 
MAP2,2,KCNMA1 LHFPL3 
GPR12,2,RP11-407N17.4 NFKBIB 
RP11-342K6.4,2,ACRV1 FGFBP2 
MAOA,2,RP11-1081L13.4 MIEF1 
CTA-221G9.12,2,ZFY-AS1 NKX3-1 
RP11-342K2.1,2,AC008060.7 LINC00880 
RP11-378A13.1,2,MPV17L2 AKAP8 
CTD-2095E4.5,2,CTD-2008P7.9 RP1-159A19.4 
CTD-2134A5.3,2,DIP2B RP11-330L19.1 
RP11-341N2.1,2,KLHL35 SWAP70 
MGC45922,2,RP11-229P13.2 LAMP2 
RPL23AP2,2,SLC25A4 ZNF23 
MIR200A,2,RGS7 KCNC4-AS1 
RP11-326N17.2,2,FAM167B PDCD10 
CTD-2537I9.13,2,RP11-1084A12.1 CEACAM22P 
GLTSCR2,2,ATP2B1 PTGR1 
CTD-2561B21.8,2,NFIX KMT2C 
CTD-2562G15.3,2,RP11-35G9.3 CNN2P9 
SYTL5,2,LINC01452 RP11-21L23.2 
TCP10L,2,RP11-643M14.1 LINC00657 
CORO1B,2,RP11-1143G9.5 AD000092.3 
CTD-2574D22.4,2,GLCE RP11-331F4.5 
CTC-239J10.1,2,MARK4 NUPL1 
MKS1,2,LRP2BP TMED10P2 
ST3GAL4-AS1,2,CAV1 GCAT 
MLH1,2,GPATCH4 RP11-244O19.1 
CTD-2587M2.1,2,PLEK2 RP11-111M22.3 
COQ6,2,PALMD ORAI1 
CTC-1337H24.4,2,ODF3L1 ZXDA 
GS1-257G1.1,2,DNM2 LINC00887 
GLTPD2,2,RHOA FARS2 
RP4-565E6.1,2,HESX1 GRIA1 
RP11-406H21.2,2,LRRC37A3 AHCYL2 
CTD-2555O16.2,2,RNF215 ARC 
HIRIP3,2,ZNF598 ABCD4 
COX14,2,SNCG HCN2 
RP5-1120P11.1,2,ACOT8 NOM1 
CTC-260E6.3,2,PPP1R1C AP004782.1 
RP11-359B12.2,2,C7orf61 COA6 
GRK6,2,LRRC4 IGLV1-51 
HIST1H1E,2,CACNA1F DDC 
RP4-563E14.1,2,DNMBP-AS1 CTC-329D1.2 
ST7-AS1,2,ZNF575 RNU6-516P 
GRM4,2,DNAJC24 CENPBD1 
CTD-2554C21.3,2,IL21R-AS1 RP11-111F5.5 
ST7,2,KDELR1 HERC2P10 
COX11,2,MSRA SLC22A3 
RP5-1121H13.1,2,HHATL ACSM4 
LY75,2,PDGFC RP11-798M19.6 
GRM6,2,TMPRSS9 RP11-1260E13.2 
CTC-329D1.2,2,DNMBP-AS1 RP4-563E14.1 
ST6GALNAC4,2,SEC16B LAMC1 
RP11-932O9.8,2,RNF224 SCUBE2 
ST20-AS1,2,IGFBP6 RPS7P4 
HEPHL1,2,FOLR2 ZNF780B 
CTB-58E17.1,2,RP11-532F6.3 RGS12 
RP11-407P2.1,2,ZFY-AS1 MIR4442 
SSTR5-AS1,2,AGER CSF2RB 
SYT16,2,BSN CEBPZOS 
MLXIP,2,FITM1 FASTKD1 
MMADHC,2,SP100 IFNAR2 
MCFD2,2,STAG1 CSRNP2 
RP11-92C4.6,2,TRABD2B TLE1P1 
TDRD12,2,NDUFV1 SYNDIG1L 
TDH,2,RP1-228H13.5 CTA-243E7.1 
TDRD3,2,PIP5K1B PRAC2 
GSAP,2,RP11-55K13.1 CTD-2619J13.16 
CTD-2651B20.7,2,HOTAIRM1 KMT2B 
RP4-621B10.8,2,ABHD14A-ACY1 MON1A 
COPE,2,MYH3 RFX6 
RP3-325F22.5,2,ZBTB7C ATP5B 
CTD-2666L21.1,2,PXN TJP3 
GS1-279B7.2,2,TRAF3IP1 CCDC66 
MLPH,2,FBXL5 CTD-2623N2.3 
RP5-1198O20.4,2,ZFYVE21 SRC 
MCAT,2,ZNF852 BHLHE41 
GS1-259H13.10,2,NACAP1 YWHAZ 
ST14,2,KIF6 HMGN3-AS1 
MCTS2P,2,MS4A14 PQLC1 
HMGB3P24,2,BBS10 SNRNP25 
RPL35P5,2,WDFY2 AP000640.10 
RP11-316O14.1,2,CREB5 ZBTB12P1 
CTD-2619J13.16,2,GSAP GZMA 
RP5-1182A14.5,2,RP3-486I3.4 TIGIT 
RP4-641G12.4,2,GRIK2 MPEG1 
GLP2R,2,ZNF544 PLA2G2F 
HMGN2P5,2,EEF2KMT LSMEM2 
RP11-407N8.6,2,DIAPH1 CEP85L 
SSX2IP,2,SPATA1 SF3B1 
MCEMP1,2,HAPLN1 MAPK8IP3 
COPS6,2,KRT4 BECN1 
CTD-2619J13.19,2,CSF1R EP300 
LYAR,2,SCARNA13 LRRC37A17P 
GLUD1P7,2,FTO-IT1 PRR12 
GSTA9P,2,AP000223.42 IL20RA 
STAG3L2,2,RSBN1L HCG4P5 
RP11-326C3.16,2,RAB5C KBTBD11 
CTD-2528L19.3,2,SERP1 RP4-710M3.1 
TCEAL5,2,KCNE3 ZBED9 
CTD-2527I21.15,2,RP11-260M2.1 VN1R1 
RP11-367N14.3,2,RBFOX2 UBXN2A 
RPL26P37,2,KDM3B GTF2F1 
GSTO2,2,UPF1 CDC20B 
RP4-710M3.1,2,CTD-2528L19.3 AC139887.4 
HIST1H2BN,2,FUT4 ALMS1 
MIR497HG,2,RP11-33B1.2 RAB11FIP5 
RP5-1099D15.1,2,YBEY BTG2 
LYL1,2,PAPLN CTD-3252C9.4 
RP11-403B2.10,2,LONRF3 MTMR11 
TCEB2,2,MZT2B VPS4B 
TCERG1L,2,PARD6A LRIG3 
RP4-681N20.5,2,IVD KCNK5 
MED12,2,MIR3189 UTP20 
CTD-2510F5.4,2,ALDH3A2 APBA3 
RP11-402D21.2,2,LINC00641 AXIN2 
GLYATL1P4,2,CTA-223H9.9 ICAM2 
RP11-964E11.2,2,SNORD69 UBE2B 
GTF2F2,2,BAI2 PILRA 
CTC-308K20.1,2,HEBP2 SYT1 
LYPLAL1,2,NFXL1 FARP1 
CTD-2521M24.9,2,CARKD HERC1 
MAST1,2,RAB24 C8orf89 
LYPD8,2,PCA3 DPY19L2P1 
GNG2,2,CUL7 HNRNPKP1 
RP13-714J12.1,2,RPL7AP11 NDST4 
RPL26P30,2,GDI1 CHST12 
LYG1,2,SGCG SPATA2L 
CTC-273B12.10,2,RGAG1 MRPS18B 
MED10,2,FGF22 CD300A 
RP11-950C14.3,2,UBP1 HOTTIP 
TCEAL1,2,NDRG2 TMSB15A 
HCG4P3,2,FAM204A ITGB3BP 
MIR5581,2,LINC01352 RP11-423H2.3 
STARD3NL,2,NTN1 CEL 
RP5-857K21.11,2,SULF2 SLC25A30 
RP11-356J5.12,2,RP13-36G14.4 RP11-33E12.2 
ANKRD20A5P,1,RND3 
SCIN,1,CBX5 
FBXW5,1,TRIM56 
RP11-715J22.1,1,PLCG1-AS1 
AMICA1,1,RP11-680F20.6 
QRFPR,1,RP11-98D18.3 
PGK1,1,RP11-304L19.3 
FBXO43,1,HMGB3P22 
SDSL,1,GSDMA 
ALG2,1,SH2D4A 
AMHR2,1,SCEL 
SEC23IP,1,SRC 
RP11-713M15.2,1,ZNF540 
HMHA1,1,RP11-268G12.1 
PSMA6P1,1,NDUFA11 
PHYHD1,1,TDRD1 
GVINP1,1,PPIL2 
RP11-712L6.5,1,PAH 
RP3-402G11.25,1,RP11-574K11.32 
SEC14L2,1,RP11-430L17.1 
PXK,1,RP11-181K12.1 
GUSB,1,CYP4F12 
PRSS36,1,DOLPP1 
GSDMD,1,ACER1 
ITGA6,1,PSORS1C3 
AC004951.5,1,BIRC7 
RP3-337H4.10,1,CTA-989H11.1 
RP11-715J22.3,1,ZNF485 
PXMP2,1,RP11-214O1.2 
AC004895.4,1,ITGAD 
PIK3IP1-AS1,1,PAK4 
SEC22A,1,TFAM 
RP5-1042I8.7,1,GS1-393G12.14 
AC002467.7,1,AC023283.1 
RP11-72I8.1,1,HMG20B 
GSE1,1,MAP3K14 
FBN3,1,ZNF649-AS1 
FBXW2,1,KCTD11 
ANKRD35,1,NEK6 
HLA-F,1,ZBTB22 
RP11-745A24.2,1,CEP41 
ITGA3,1,SLC26A2 
RP3-402G11.27,1,AC012442.5 
ITPR1,1,CORT 
IQCE,1,ANKRD10-IT1 
AC004471.10,1,DCC 
ZNF799,1,TCEA1 
ALOX5,1,MMP28 
ALS2CL,1,AC008982.2 
RICTOR,1,C17orf85 
FBXO39,1,XRCC3 
PHC1,1,UMOD 
FBXO2,1,C20orf203 
FBXO34,1,DUSP28 
ITGB2,1,IDH3G 
PIGL,1,TRIM74 
PHGDH,1,IVNS1ABP 
RP3-405J10.3,1,MAP3K9 
AC004231.2,1,TPP2 
ALOX12,1,RTF1 
PIGHP1,1,KIF4A 
AC004381.6,1,RIPK4 
ALPL,1,RP11-783K16.14 
GSTK1,1,GPR137C 
HMGB1P10,1,PRELID1 
PYROXD2,1,UBE2L3 
SDE2,1,RP11-574K11.5 
FBXO31,1,GPR19 
PHF21A,1,RP11-553P9.1 
PIF1,1,IGLV3-27 
IRAK3,1,AC074289.1 
YBX1,1,XG 
AC005281.2,1,AC083843.1 
FBXL5,1,MLPH 
PGM2L1,1,RP11-546K22.3 
ZNF777,1,RCOR3 
SDR42E1,1,KHDRBS2 
PGM3,1,TRAF2 
RLF,1,RP11-468E2.4 
FCER1A,1,PLEKHB1 
PI4K2B,1,ZBTB10 
ZNF778,1,RP11-434D12.1 
GSTA1,1,AC144450.1 
PHLDB3,1,HIST1H4H 
FDXACB1,1,SELPLG 
AC004538.3,1,ZNF428 
RP11-717F1.2,1,RP11-158H5.7 
FCGR1A,1,RAET1E 
PIK3AP1,1,RP11-469N6.1 
YAE1D1,1,RP11-656D10.3 
RLTPR,1,CCAR2 
ITPKB,1,CFAP70 
GTF2E1,1,RNU6ATAC18P 
ALKBH4,1,GPR55 
RMDN1,1,RP5-1057I20.5 
AC003973.3,1,NUP205 
PIH1D1,1,AF064858.8 
ALMS1P,1,ZNF124 
PGR,1,TNIP3 
ANKRA2,1,PABPC1P3 
AMPH,1,STAG1 
IRS4,1,ATRN 
PSMD11,1,SNX25 
HSPE1P2,1,MAP4 
ZNF821,1,SPATA9 
APBB3,1,RP4-584D14.7 
SERPINE1,1,CELSR3-AS1 
RP11-680A11.5,1,ESYT2 
AP4B1,1,AP000442.1 
PTH1R,1,EGR4 
RP4-706A16.3,1,WDYHV1 
PCYOX1,1,CTC-429P9.3 
RP4-545C24.1,1,SEC14L6 
FAM19A2,1,KCNMB2 
KCNK7,1,ACTG2 
HCP5B,1,AP2A2 
FAM180A,1,JRKL 
PCOLCE2,1,KLHL1 
RP11-676J12.6,1,PLEKHS1 
PCSK4,1,IL12B 
RP4-680D5.2,1,M6PR 
ABAT,1,MIR3197 
WBSCR22,1,LTA 
WBSCR17,1,TXLNGY 
APCDD1L-AS1,1,RP3-395M20.8 
HDHD1,1,CTC-327F10.4 
PCSK1N,1,AP000351.3 
ZSCAN32,1,DNAJC11 
RNF32,1,PTPN14 
ABCA17P,1,LINC01411 
SERPINC1,1,RP11-449D8.1 
HCG4P7,1,RP11-798M19.6 
HCG14,1,ANP32E 
RP11-680F8.1,1,TSSK3 
PTRF,1,FUOM 
RNF219,1,CTSH 
PDE4B,1,ZNF676 
HCG17,1,PNPT1 
AP006285.2,1,WFDC2 
AP006621.5,1,SHROOM4 
AP006748.1,1,MIR3189 
PDE3A,1,AC005754.8 
PDCL3P4,1,UHRF1BP1 
RNF223,1,LMO3 
PTPRS,1,CIITA 
HIST1H3C,1,AC092155.1 
WDR37,1,MTND2P28 
FAM212B,1,RP11-230C9.2 
AP1S3,1,SMG1P5 
FAM207BP,1,NUDT15 
AP2A2,1,HCP5B 
SERPINB7,1,RP11-65E22.2 
RP4-717I23.3,1,KIF1A 
KCNQ3,1,CAPN12 
RP4-669L17.10,1,C2CD5 
GYG1,1,NME2P1 
PTPN7,1,LRRC23 
SFRP1,1,ZC3H13 
VTN,1,KB-1125A3.11 
PCLO,1,RP11-84A14.4 
HERC2P4,1,CCDC178 
PTPLAD1,1,LRRC75A 
VTA1,1,PMEL 
KDELC1,1,SCGB1B2P 
AQP2,1,FAM163A 
RP11-666A20.4,1,HLA-W 
AQP3,1,APBB1 
RP4-584D14.5,1,SLC25A12 
RNF5P1,1,RP11-242D8.3 
RNU6-118P,1,ZNF20 
FAM131C,1,PSMG2 
FAM129C,1,RP11-421N8.1 
KDM4C,1,COMMD6 
HERPUD2,1,LINC01122 
HEXA-AS1,1,SLC16A2 
PCDHGB6,1,CROCCP3 
PTPN22,1,TNFSF15 
HID1-AS1,1,ZDHHC13 
RP4-605O3.4,1,RP11-1277A3.3 
VWA2,1,CAPSL 
RP4-647C14.3,1,C16orf96 
KCTD9,1,CNGA1 
RP4-657D16.3,1,RBM23 
AB019441.29,1,SLC24A2 
RP4-555D20.2,1,TMEM241 
WASIR2,1,FAM188A 
RP4-669H2.1,1,FAM162B 
APLF,1,VARS2 
RNGTT,1,DAZAP1 
PTP4A3,1,RSL24D1P6 
RNH1,1,LIN52 
PCNX,1,PHBP9 
FAM167A,1,LRRC37A2 
APOBEC2,1,SPATA6 
KCTD12,1,AHNAK2 
FAM162A,1,LAYN 
KCTD2,1,RP5-1063M23.2 
RNPEPL1,1,MRPS23 
RP4-564M11.2,1,BCORL1 
VWF,1,RBMXP4 
KCTD20,1,PDE1A 
RP11-667F14.1,1,RP11-150O12.6 
FAM153B,1,CROCCP2 
APOM,1,RP3-406A7.7 
SERPINA6,1,GRIK5 
RP3-522J7.7,1,TP53TG1 
RP11-680G24.4,1,FAM26E 
HLA-B,1,MSRA 
WNT9A,1,WDR25 
JRKL,1,FAM180A 
JUND,1,PPP2R4 
FAM86B3P,1,SAMD11 
KAL1,1,TCTEX1D2 
PEX14,1,RP11-439E19.9 
ANO6,1,ANKRD40 
RP11-700H6.4,1,PTMAP3 
RP11-700F16.3,1,SIPA1 
ZNF840P,1,STAP1 
PENK,1,CDC42EP5 
RP11-685B14.1,1,MT1G 
ABT1,1,POTEF 
FAM81A,1,SAP30 
ANXA8,1,HERC2P10 
RP3-465N24.6,1,ABCD1 
AOC4P,1,RP11-13K12.5 
KANSL2,1,SNRPN 
AP000295.10,1,YEATS4 
RP11-6L6.4,1,CCDC138 
WIPI2,1,ST6GAL2 
AP000347.2,1,NMT1 
WNT9B,1,OXSR1 
PSMD6,1,EPHA3 
ZNF836,1,ZNF474 
RP4-814D15.2,1,RAB13 
RP11-712B9.4,1,FAM175B 
RP11-70D24.2,1,TMSB4X 
FASTKD1,1,MLXIP 
SEC63P1,1,RP11-295I5.3 
JARID2,1,AC130469.1 
FARP1,1,LYPLAL1 
WWC2,1,CLDN15 
RP11-707P17.2,1,RNF175 
GZMA,1,CTD-2619J13.16 
AC002116.7,1,RP11-234A1.1 
FANCA,1,RP11-133K1.12 
ANKRD52,1,DNAH1 
JMJD8,1,FTLP14 
RP11-706O15.3,1,AP006621.9 
WSB2,1,CTNND1 
JPH1,1,SIGLEC10 
PFDN2,1,RP11-583F2.6 
RP11-705C15.2,1,PTHLH 
RP3-449M8.9,1,AF001548.3 
AC000123.4,1,LONRF2 
ANKS6,1,AGO1 
RP11-74D7.3,1,GCLC 
RP4-791C19.1,1,RP11-439E19.10 
PEBP1,1,EVI2B 
SEPT7,1,RP11-109E24.2 
ABHD12B,1,RBM43 
RP11-691N7.6,1,SAMSN1 
ABHD11-AS1,1,TAF6L 
RNF183,1,SEPT10P1 
RP3-509I19.11,1,BMPR2 
HAVCR2,1,SLC2A13 
PTDSS1,1,RP4-539M6.21 
KBTBD12,1,NCMAP 
ABCE1,1,LINC01273 
RP11-68I18.10,1,KRTAP5-AS1 
ABCD2,1,RP11-66N11.8 
RP11-686D22.3,1,FAM155A 
PDGFC,1,LY75 
KCNC4-AS1,1,MIR200A 
PTGER2,1,TCEB1P19 
AP001626.1,1,SNX19 
AP001627.1,1,AP000487.6 
ZNRF2P2,1,AL122127.2 
RNF212B,1,ATAT1 
AP002954.6,1,LAMB1 
HBQ1,1,PLGLB1 
FAM47E-STBD1,1,KLHL13 
SEPT6,1,SRGN 
ABL2,1,ASB12 
PDK4,1,EIF4A1 
RNF139-AS1,1,RP11-973D8.5 
AP000473.5,1,DENND6A 
AP000487.5,1,CRK 
AP000688.14,1,KB-1125A3.10 
ZNF865,1,C9orf116 
HJURP,1,PTOV1 
RP3-475N16.1,1,FMO4 
FAM65C,1,LZTS2 
RP11-697N18.3,1,RP11-494M8.4 
HAR1B,1,UTP20 
PSTPIP1,1,SGIP1 
SEPSECS,1,SRSF12 
ZNF891,1,CBY3 
KB-1269D1.8,1,NASP 
SEPT10P1,1,RNF183 
PURB,1,FRMPD1 
PDLIM2,1,SCGB1B2P 
RNF167,1,RALBP1 
WDTC1,1,RP11-109N23.6 
SEPT4,1,VPREB3 
KB-1471A8.1,1,ZDHHC19 
SEMA7A,1,MTMR2 
ZBTB3,1,RP11-157F20.3 
SCGB1A1,1,CTC-301O7.4 
ZNF529-AS1,1,RP11-6F2.5 
RBM3,1,CTD-2342N23.3 
RAET1E,1,FCGR1A 
GOLPH3,1,RP11-166B2.3 
GATAD2B,1,EIF3A 
RPL18AP16,1,CTAGE7P 
RP11-973H7.3,1,ARHGEF11 
IGDCC4,1,IGKV1OR2-108 
ACAT1,1,MRPL45 
ZNF544,1,GLP2R 
ZNF546,1,GLYCTK 
RP11-848P1.9,1,RPS5 
RP11-848P1.3,1,AL022344.2 
ZNF548,1,AC000089.3 
RP11-848P1.2,1,HCLS1 
PRDM10,1,ZNF639 
ACHE,1,RSL1D1 
ACKR2,1,ANKRD49 
ACLY,1,GLIS2 
RPS3AP47,1,LINC00528 
AC023115.2,1,ENPP3 
IGFBP3,1,CST3 
GOT2P3,1,WDR63 
ACOXL,1,AC096574.5 
POLR2B,1,PCDHB11 
IFT27,1,AC005518.2 
IGFL1,1,GBAP1 
RBM26-AS1,1,KANTR 
PPP5D1,1,LSM14B 
POR,1,TPP2 
GCM1,1,C6orf52 
IFFO1,1,ZNF582 
RP11-96D1.10,1,FSCN1 
ZNF519,1,RP11-4O1.2 
RPS2,1,CTD-2541M15.3 
GBP5,1,PDP1 
RP11-96D1.6,1,INCENP 
RBM18,1,CH17-118O6.2 
AC044907.1,1,COX8A 
AC144450.1,1,GSTA1 
AC144831.3,1,C2CD4A 
IFNE,1,KB-208E9.1 
RBM20,1,TNFRSF10D 
RPS23P8,1,APEH 
HSD17B13,1,HSPG2 
AC245407.1,1,RP11-166D19.1 
PQLC3,1,RP11-265E18.1 
GBA,1,SLC6A7 
AC253576.2,1,PRDX2 
ZNF528-AS1,1,OST4 
RPS26P31,1,POU6F1 
RAD51AP1,1,PTK6 
RBM8B,1,MLF2 
RPS18,1,HNRNPUL1 
PREP,1,LINC00242 
AC016907.3,1,WNT4 
RBMXL1,1,CTC-429P9.3 
ACTL10,1,TUSC3 
RPL11,1,LL09NC01-251B2.3 
RP11-996F15.5,1,NMT1 
ACTN1-AS1,1,RP11-793H13.8 
RPS6KA3,1,WFDC12 
AC016757.3,1,MTND2P28 
ACTR10,1,ATP5H 
ACTR1A,1,BTAF1 
ACTR3B,1,SCO2 
RPL10P1,1,TGFB1 
ACTR5,1,TMBIM6 
IGHV3-73,1,C4A 
